question_id,question_text,rating,comment
0,"What specific day in May are you referring to?",8,""
1,"Why is that particular day significant?",6,""
2,"What happens on that other day that makes it different?",6,""
3,"What was the unclear part of KPYPSUGP's utterance?",2,""
4,"Could you clarify what KPYPSUGP meant by the unclear statement?",2,""
5,"Was KPYPSUGP referring to a specific event or detail that wasn't mentioned earlier?",0,""
6,"What was the unclear part that KPYPSUGP mentioned?",2,""
7,"Could you clarify what KPYPSUGP was trying to say?",2,""
8,"Was KPYPSUGP referring to a specific topic discussed earlier?",0,""
9,"What does ""oh Sarah"" imply in this context?",4,""
10,"Why did PS58Y suddenly address someone as ""Sarah""?",3,""
11,"What connection does ""Sarah"" have to the previous discussion about school schedules and bank holidays?",3,""
12,"What is the specific topic or referent that ""what is"" is inquiring about?",6,""
13,"Could ""what is"" be referring to an earlier unclear utterance that was not properly resolved?",6,""
14,"Is there a particular word or concept from the previous discussion that PS591 is seeking clarification on?",4,""
15,"What does ""accost"" mean in this context?",4,""
16,"Are you asking about the spelling or the definition of ""accost""?",8,""
17,"Why is the word ""accost"" relevant to the previous discussion about school schedules and bank holidays?",6,""
18,"What does ""ACOSTIRX"" refer to in this context?",4,""
19,"Is ""ACOSTIRX"" a typo or an abbreviation for something specific?",4,""
20,"Why is PS591 spelling out ""ACOSTIRX"" instead of just saying the word?",4,""
21,"Why is Sarah coming home early tomorrow?",7,""
22,"What specific reason or event is causing Sarah to leave early?",,""
23,"Is this early departure a regular occurrence or a one-time exception?",,""
24,"What specific event or reason is causing the school to have a half day on Wednesday?",,""
25,"Why are only periods one and two being canceled, and not the entire day?",,""
26,"Is this a regular occurrence or a one-time exception due to a particular circumstance?",,""
27,"What specific information or realization prompted the utterance ""oh""?",,""
28,"Was there a sudden understanding or change in perspective that led to this response?",,""
29,"What was the exact context or preceding statement that caused this reaction?",,""
30,"What does ""Teterous"" refer to?",,""
31,"Why is KPYPSUNK mentioning ""Teterous"" in this context?",,""
32,"How is ""Teterous"" related to Brent Cross?",,""
33,"What exactly is a Sorous?",,""
34,"Why did the topic of Sorous come up in this conversation?",,""
35,"How does the Sorous relate to the earlier discussion about days off and exams?",,""
36,"Who is ""she"" being referred to in this context?",,""
37,"What is the significance of being in a different year?",,""
38,"How does being in a different year affect the situation being discussed?",,""
39,"What was the unclear utterance that KPYPSUGP made?",,""
40,"Could the unclear utterance be related to the previous topic about Mary's son?",,""
41,"Was KPYPSUGP trying to ask a question or provide an answer in the unclear utterance?",,""
42,"What specific aspect of the English exam at the end of year eight makes it ""alright""?",,""
43,"Is there a particular reason why the English exam being at the end of year eight is considered acceptable?",,""
44,"What does ""that's alright"" imply about the speaker's expectations or concerns regarding the exam?",,""
45,"What specific situation or statement prompted the laughter?",,""
46,"Is the laughter indicative of agreement, disagreement, or something else?",,""
47,"Could the laughter be a reaction to an unspoken thought or inside joke?",,""
48,"What kind of careers event is being referred to?",,""
49,"When is this careers event scheduled to take place?",,""
50,"What is the purpose or goal of this careers event?",,""
51,"What exactly makes the oral presentations ""alright""?",,""
52,"Are there specific criteria or standards for these presentations that make them acceptable?",,""
53,"How do the oral presentations fit into the overall exam structure and grading?",,""
54,"Why do you dislike doing speeches?",,""
55,"What specific aspects of giving speeches make you uncomfortable?",,""
56,"Have you had any negative experiences with speeches in the past?",,""
57,"What specific situations make you feel shy during speeches?",,""
58,"How long have you felt this way about public speaking?",,""
59,"Do you have any strategies to help you overcome your shyness when giving talks?",,""
60,"What was the unclear utterance that KPYPSUGP made?",,""
61,"Could the unclear utterance be related to the previous topic of oral presentations?",,""
62,"Was KPYPSUGP attempting to answer or ask a question that was unclear?",,""
63,"What specific reason makes you come home early on Wednesdays?",,""
64,"How does the extra time for the French test impact your decision to go to school?",,""
65,"Are there any other activities or commitments on Wednesdays that influence your school attendance?",,""
66,"What specific reason do you have for considering not going to school on Wednesday morning?",,""
67,"How does your schedule on Wednesday morning typically differ from other days?",,""
68,"Are there any particular activities or commitments that make Wednesday morning more convenient for you to have off?",,""
69,"Who is PS591 addressing with this utterance?",,""
70,"What is the physical context or situation that led to this statement?",,""
71,"Why does PS591 feel the need to ask the other person to keep still?",,""
72,"What specific event or activity is scheduled for Wednesday morning?",,""
73,"Why is there a possibility of going in after lunch instead of the morning?",,""
74,"What is the purpose or subject of the one period scheduled on Wednesday morning?",,""
75,"What does ""break"" refer to in this context?",,""
