,question_id,question_text,rating,comment
0,0,"What specific aspect of your work as a turnboy on the dredger are you referring to when you said ""Yes""?",0.0,
1,0,Could you elaborate on the conditions or events that led you to start working on the dredger at such a young age?,8.0,
2,2,What motivated you to leave the dyers and cleaners and return to Ipswich to work on the dredger?,8.0,
3,3,"What specific aspect of your early work experience at the ironmonger are you referring to with ""yes""?",5.0,
4,4,Could you clarify what prompted you to leave the ironmonger after just a month?,8.0,
5,5,What particular details about your time at the ironmonger do you think are most relevant to this conversation?,0.0,
6,8,"What did PS22C say that prompted PS22D to respond with ""Pardon""?",3.0,
7,8,Could you clarify what part of the previous utterance was unclear to you?,3.0,
8,8,Was there a specific word or phrase in the question that you didn't understand?,3.0,
9,9,What exactly is located at the bottom opposite the [unclear] place?,2.0,
10,10,What is the significance of the location you mentioned?,2.0,
11,11,"Could you clarify what you meant by ""[unclear] down at the bottom of opposite the""?",2.0,
12,12,What is the connection between this location and your earlier life experiences?,8.0,
13,13,What is the significance of knowing the exact birth date in the context of this interview?,5.0,
14,14,How might the birth date relate to the interviewee's later experiences at Ipswich Docks?,5.0,
15,15,Are there any historical or personal events tied to the birth date that could be relevant to the narrative?,3.0,
16,16,What specific memories or details do you recall about the area where you grew up?,8.0,
17,17,How did the area change over time during your early childhood?,8.0,
18,18,Were there any particular events or landmarks that stood out to you during that period?,8.0,
19,19,What specific places or areas did you explore during your roaming?,8.0,
20,20,Did you have any particular reasons or motivations for roaming those areas?,,
21,21,Were there any memorable experiences or events that happened while you were roaming?,,
22,22,What kind of fields were in the area during your childhood?,,
23,23,Were there any specific landmarks or notable locations in the fields you roamed?,,
24,24,Did you have any particular routes or favorite spots you would visit while roaming?,,
25,25,What kind of fields were in the area during your childhood?,,
26,26,Did you have any favorite places to roam in those fields?,,
27,27,Were there any significant landmarks or natural features in the area you explored?,,
28,28,What was the name of the estate being built?,,
29,29,When did the construction of this estate begin?,,
30,30,How did the construction of the estate impact the surrounding area?,,
31,31,What might have caused PS22C to cough at that specific moment?,,
32,32,Could the cough have been a non-verbal cue indicating something about the topic of discussion?,,
33,33,"Was the cough an interruption due to an external factor, or was it related to the content of the conversation?",,
34,34,What might have caused PS22C to cough at that specific moment?,,
35,35,Could the cough have been a non-verbal cue indicating something about PS22C's state or reaction?,,
36,36,"Was the cough an interruption, or did it coincide with a pause in PS22D's speech?",,
37,37,"What exactly are you referring to when you say ""the""?",,
38,38,"Could you clarify what specific aspect of ""the"" you are asking about?",,
39,39,"Are there any distinguishing features or characteristics of ""the"" that you are interested in?",,
40,40,"What specific aspects of ""the"" were you referring to when you asked about its appearance?",,
41,41,"Could you describe the layout or boundaries of ""the"" in more detail?",,
42,42,"Were there any notable features or landmarks within ""the"" that you recall?",,
43,43,What river are you referring to?,,
44,44,How far was the common ground from this river?,,
45,45,Did you or anyone else use the river for any activities?,,
46,46,What specific activities did you engage in while camping there?,,
47,47,Did you ever encounter any wildlife or interesting natural phenomena during your camping trips?,,
48,48,"How did you obtain the permits to camp, and were there any rules or restrictions you had to follow?",,
49,49,What was the duration of the camping trips you mentioned?,,
50,50,Were these camping trips a regular occurrence or a one-time event?,,
51,51,Did the duration of the camping trips change over time?,,
52,52,What specific school holidays are you referring to?,,
53,53,"Did you camp during multiple school holidays, or just one?",,
54,54,How old were you when you used to camp there during the school holidays?,,
55,55,What specific activities did you engage in during your summer camping trips?,,
56,56,How did obtaining a permit to camp affect your overall experience?,,
57,57,Were there any particular challenges or memorable moments during your week-long camping stays?,,
58,58,What were the other school holidays you had besides the summer holidays?,,
59,59,How long did those other school holidays last?,,
60,60,Did you do any specific activities during those other school holidays?,,
61,61,How long did you have for Easter and Whitsun holidays?,,
62,62,Did you have any specific activities during those holidays?,,
63,63,Were the Christmas holidays longer than Easter and Whitsun?,,
64,64,What specific activities or games did you enjoy during your holidays?,,
65,65,Did you have any favorite places to visit or explore during your time off?,,
66,66,How did your holiday activities differ between summer and other school breaks?,,
67,67,What kind of harvesting work did you do?,,
68,68,How old were you when you started going harvesting?,,
69,69,"Did you get paid for harvesting, or was it something you did for fun?",,
70,70,What kind of horses were you riding?,,
71,71,How old were you when you started riding horses?,,
72,72,Did you ever have any accidents while riding the horses?,,
73,73,What specific arrangements or agreements did you have with the farmer regarding the horse rides?,,
74,74,Did the farmer ever set any rules or boundaries for the activities you and your friends engaged in?,,
75,75,"How did the farmer's attitude towards your activities change over time, if at all?",,
76,76,How did you catch the rabbits?,,
77,77,What did you do with the rabbits after catching them?,,
78,78,Did you have any specific techniques or tools for rabbit catching?,,
79,79,What rules or restrictions were in place regarding the rabbits you caught?,,
80,80,Who imposed the rule that you couldn't keep the rabbits?,,
81,81,Were there any consequences if you tried to keep the rabbits?,,
82,82,What specific rules or agreements were in place regarding the catching of rabbits on the farm?,,
83,83,How did the farm labourers typically use the rabbits they caught as perks?,,
84,84,Were there any consequences or benefits for the children involved in catching the rabbits?,,
85,85,Where exactly in Ipswich did you attend school?,,
86,86,What was the name of the school you went to in Ipswich?,,
87,87,How did you travel to school in Ipswich?,,
88,88,What specific school did you attend in Ipswich?,,
89,89,What was the curriculum like at that school?,,
90,90,Did you have any favorite subjects or teachers during your time there?,,
91,91,Where exactly is the school located in Ipswich?,,
92,92,What was the name of the school you attended?,,
93,93,"Did you travel to school from home, and if so, how did you get there?",,
94,94,What happened to the school near the gasworks?,,
95,95,When did the school close down?,,
96,96,Why was the school closed or relocated?,,
97,97,What kind of activities or subjects did you study at that school?,,
98,98,"How was the atmosphere or environment at the school, like the teachers and other students?",,
99,99,Did you have any favorite memories or particular experiences from your time at that school?,,
100,100,What specific aspects made the school hard?,,
101,101,Were there particular subjects or teachers that contributed to the difficulty?,,
102,102,Did the hard nature of the school affect your performance or enjoyment of learning?,,
103,103,What kind of lessons were particularly hard?,,
104,104,Were there specific subjects or teachers that made the lessons difficult?,,
105,105,How did the difficulty of the lessons compare to other schools in the area?,,
106,106,What specific actions or behaviors typically resulted in receiving the cane?,,
107,107,How often did students receive the cane as a form of punishment?,,
108,108,Were there any particular subjects or teachers associated with more frequent use of the cane?,,
109,109,What specific rules governed the use of the cane in the classroom?,,
110,110,How often did students typically receive the cane for talking?,,
111,111,Did the severity of the punishment vary depending on the context or frequency of talking?,,
112,112,What specific actions or behaviors typically resulted in receiving the cane most frequently?,,
113,113,How did the frequency of receiving the cane compare to that of your classmates?,,
114,114,Did the teachers vary in how often they used the cane as a punishment?,,
115,115,What specific subjects or topics were covered in your lessons?,,
116,116,How did the teaching methods or approaches differ from those in schools today?,,
117,117,Were there any particular lessons or subjects that you found especially challenging or memorable?,,
118,118,What kind of practical lessons did you have?,,
119,119,How often did you have practical lessons compared to theoretical ones?,,
120,120,Did the practical lessons involve any hands-on activities or projects?,,
121,121,What kind of practical lessons did you have?,,
122,122,How often did you have practical lessons compared to theoretical ones?,,
123,123,"Were the practical lessons also strict, or were they more relaxed?",,
124,124,What exactly was unclear in PS22C's previous utterance?,,
125,125,Could you clarify what part of the discussion was unclear?,,
126,126,Was there a specific detail or topic that PS22C was trying to understand better?,,
127,127,What exactly did the manual for woodwork entail?,,
128,128,How was the manual used in the woodwork lessons?,,
