,question_id,question_text,rating,comment
0,0,What exactly happened after you stepped forward and said something?,8.0,
1,0,Why did you feel the need to get closer to him before speaking?,4.0,
2,2,What was the outcome of the confrontation after you expressed your anger?,8.0,
3,3,What exactly happened that led to you being dragged out of the shop?,8.0,
4,4,How did the situation escalate to the point where you were removed from the shop?,8.0,
5,5,What was the outcome of the confrontation with the man who stood on your foot?,8.0,
6,8,What exactly were you doing on the ladder on Sunday?,4.0,cutting the trees down
7,8,Why were you cutting trees down on a Sunday?,5.0,
8,8,Was this part of a regular activity or a one-time event?,8.0,
9,9,What kind of trees are you growing along the back fence?,5.0,
10,10,Why are you trying to make the trees spread out instead of letting them grow naturally?,5.0,
11,11,How do you plan to achieve the goal of making the trees spread out?,8.0,
12,12,What specific trees are you referring to?,8.0,
13,13,How often do you need to crop them?,8.0,
14,14,What tools or techniques do you use for cropping?,8.0,
15,15,What kind of trees were you trimming?,8.0,
16,16,How did you and your mate coordinate the work while both being on the ladder?,5.0,
17,17,Did you encounter any unexpected challenges while trimming the trees?,8.0,
18,18,What specific types of trees are you referring to when you mention Oak and Sycamore?,8.0,
19,19,How does the fencing around your house relate to the trees you mentioned?,4.0,
20,20,Why did you choose to plant a mixture of Oak and Sycamore trees along your fence?,5.0,
21,21,What kind of bigger chainsaw did you get for the larger branches?,,
22,22,"How did you ensure safety while using the chainsaws, especially when working with a mate?",,
23,23,Did you encounter any unexpected challenges while trimming the trees?,,
24,24,What specific tool hire shop in North Camp did you use?,,
25,25,How did you find out about this tool hire shop in North Camp?,,
26,26,Were there any other services or tools you considered hiring from them?,,
27,27,What exactly did you hire the chain saws for?,,
28,28,How long did you end up working with the chain saws?,,
29,29,Did you encounter any issues or difficulties while using the chain saws?,,
30,30,Where are you considering going?,,
31,31,What prompted you to think about going there?,,
32,32,What do you plan to do once you get there?,,
33,33,What happened the night before that caused the hangover?,,
34,34,How often do you typically have hangovers?,,
35,35,Did you do anything else to recover from the hangover besides avoiding activities like shopping?,,
36,36,What prompted you to maintain sobriety since Friday night?,,
37,37,How does being sober as a judge compare to your usual lifestyle?,,
38,38,Are there any specific events or reasons that influenced your decision to stay sober?,,
39,39,What specific event or occasion led you to go out drinking on Friday night?,,
40,40,How do you usually spend your nights out drinking when you go out once a week?,,
41,41,Have you noticed any changes in your memory or behavior after drinking recently?,,
42,42,What exactly happened in the multi-storey car park in Guildford?,,
43,43,Do you recall any details about what might have occurred there?,,
44,44,Have you or your friends had similar experiences in the past that could explain this situation?,,
45,45,What exactly happened in the multi-storey car park in Guildford?,,
46,46,Why did you mention the first floor being above street level?,,
47,47,What were you and your friends doing in the car park that night?,,
48,48,What exactly prompted the race between you and your friend?,,
49,49,How did you manage to climb up the outside of the building without any visible injuries or difficulties?,,
50,50,Do you have any idea why you can't remember anything about the incident?,,
